,p0q0
0,9
1,-1
2,3
3,5
4,-7
5,9
6,-9
7,-8
8,5
9,-2
10,-1
11,-4
12,-6
13,-4
14,-6
15,-2
16,8
17,-4
18,-9
19,2
20,-10
21,-9
22,4
23,-4
24,-7
25,3
26,-7
27,-4
28,8
29,9
30,8
31,-4
32,-7
33,1
34,4
35,3
36,-4
37,-2
38,-4
39,3
40,-9
41,-2
42,10
43,5
44,-8
45,3
46,7
47,10
48,7
49,-9
50,-8
51,-1
52,-5
53,4
54,-4
55,-9
56,4
57,-8
58,0
59,8
60,9
61,-10
62,4
63,4
64,-10
65,-7
66,5
67,1
68,8
69,-3
70,8
71,6
72,5
73,-2
74,-4
75,-4
76,9
77,-6
78,-5
79,1
80,1
81,-8
82,-7
83,10
84,6
85,0
86,-1
87,5
88,-2
89,-5
90,-10
91,6
92,9
93,-9
94,-10
95,0
96,8
97,-2
98,-6
99,8
100,-4
101,7
102,-8
103,-4
104,10
105,8
106,-6
107,-8
108,-3
109,-4
110,3
111,9
112,6
113,-7
114,9
115,7
116,-7
117,-10
118,-5
119,-8
120,7
121,5
122,9
123,-3
124,5
125,4
126,4
127,2
128,2
129,9
130,-8
131,-10
132,-5
133,1
134,3
135,-5
136,-7
137,5
138,2
139,5
140,8
141,-3
142,9
143,8
144,-7
145,8
146,3
147,3
148,-2
149,-7
150,8
151,-5
152,-9
153,5
154,6
155,-1
156,0
157,-4
158,-3
159,8
160,1
161,4
162,4
163,4
164,-10
165,-3
166,-1
167,5
168,1
169,0
170,10
171,6
172,-10
173,5
174,2
175,-9
176,-7
177,2
178,-5
179,7
180,2
181,2
182,3
183,-3
184,-3
185,-6
186,10
187,2
188,1
189,2
190,-9
191,-5
192,0
193,7
194,-4
195,1
196,1
197,-9
198,10
199,3
200,-3
201,1
202,-6
203,4
204,4
205,9
206,7
207,7
208,-7
209,-2
210,10
211,-2
212,-7
213,3
214,-9
215,5
216,0
217,-1
218,-2
219,-6
220,-4
221,-3
222,2
223,-3
224,1
225,-2
226,3
227,10
228,3
229,3
230,3
231,5
232,-7
233,9
234,9
235,7
236,-3
237,-3
238,-2
239,10
240,3
241,8
242,8
243,3
244,-2
245,0
246,2
247,0
248,2
249,-7
250,6
251,-6
252,2
253,-5
254,-10
255,-3
256,-7
257,5
258,-6
259,4
260,4
261,-1
262,-4
263,-8
264,1
265,5
266,-6
267,6
268,-7
269,-3
270,4
271,-2
272,10
273,2
274,10
275,8
276,0
277,-1
278,-6
279,-3
280,8
281,-2
282,-5
283,-5
284,8
285,-8
286,7
287,-8
288,4
289,0
290,7
291,-4
292,-1
293,-7
294,4
295,3
296,-9
297,1
298,-7
299,2
300,-4
301,8
302,10
303,8
304,-2
305,-8
306,1
307,5
308,-3
309,-5
310,-1
311,6
312,8
313,-5
314,-8
315,1
316,7
317,-3
318,9
319,-4
320,-1
321,10
322,10
323,3
324,10
325,-10
326,-5
327,-5
328,6
329,10
330,8
331,9
332,-5
333,8
334,4
335,-4
336,9
337,-1
338,3
339,0
340,-4
341,-2
342,1
343,4
344,6
345,-5
346,-10
347,2
348,-10
349,5
350,9
351,-6
352,7
353,-4
354,-10
355,10
356,8
357,-7
358,-3
359,-3
360,-2
361,10
362,6
363,-1
364,7
365,-1
366,5
367,-4
368,-6
369,-8
370,-8
371,-3
372,-3
373,-6
374,9
375,-3
376,-9
377,-6
378,7
379,-1
380,6
381,1
382,1
383,-3
384,-9
385,7
386,-4
387,-7
388,10
389,-7
390,-9
391,4
392,-6
393,0
394,-1
395,-2
396,7
397,-10
398,-4
399,0
400,-7
401,5
402,-4
403,-3
404,-4
405,-6
406,4
407,-9
408,-6
409,2
410,0
411,2
412,1
413,-6
414,-9
415,-1
416,7
417,-3
418,10
419,-6
420,-2
421,0
422,-4
423,-6
424,-7
425,-4
426,-2
427,0
